,PLAYER,TEAM,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,+/-,GAMEID
182,Markieff Morris,Phoenix Suns,25:44,4,10,40.0,0,2,0.0,1,2,50.0,1,4,5,1,2,2,1,1,9,-10,42
183,P.J. Tucker,Phoenix Suns,13:47,1,5,20.0,0,0,0.0,2,2,100,1,1,2,1,0,1,2,4,4,-2,42
184,LeBron James,Miami Heat,30:11,10,17,58.8,2,3,66.7,1,3,33.3,3,8,11,1,0,0,3,2,23,25,42
185,Udonis Haslem,Miami Heat,18:50,5,8,62.5,0,0,0.0,2,3,66.7,0,5,5,0,0,0,0,3,12,9,42
186,Paul Millsap,Utah Jazz,33:03,5,13,38.5,2,3,66.7,2,2,100,3,5,8,4,0,3,2,6,14,-1,43
187,Gordon Hayward,Utah Jazz,36:35,9,17,52.9,0,1,0.0,1,1,100,1,4,5,2,1,0,1,1,19,-3,43
188,Derrick Favors,Utah Jazz,25:50,6,12,50.0,0,0,0.0,2,4,50.0,3,5,8,1,3,1,2,0,14,-14,43
189,Enes Kanter,Utah Jazz,11:57,1,3,33.3,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,4,2,-9,43
190,Alec Burks,Utah Jazz,6:30,0,2,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-6,43
191,Rudy Gay,Memphis Grizzlies,34:42,3,17,17.6,1,4,25.0,8,8,100,1,4,5,0,1,2,2,2,15,-5,43
192,Mike Conley,Memphis Grizzlies,33:37,7,10,70.0,1,2,50.0,1,2,50.0,0,5,5,4,1,1,3,1,16,6,43
193,Wayne Ellington,Memphis Grizzlies,13:02,1,5,20.0,0,1,0.0,0,0,0.0,1,2,3,0,1,0,0,0,2,6,43
