,TEAM,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,+/-,HOME,GAMEID
1725,Oklahoma City Thunder,42,88,47.7,8,20,40.0,14,18,77.8,13,39,52,26,9,7,23,20,106,-4,1,862
1726,Denver Nuggets,39,77,50.6,3,14,21.4,22,26,84.6,8,29,37,15,7,3,15,18,103,-4,0,863
1727,Utah Jazz,39,77,50.6,8,15,53.3,21,26,80.8,10,27,37,25,11,5,14,20,107,4,1,863
1728,Portland Trail Blazers,28,83,33.7,11,26,42.3,19,25,76.0,17,31,48,18,6,1,19,15,86,-24,0,864
1729,Golden State Warriors,45,88,51.1,10,23,43.5,10,15,66.7,9,32,41,33,15,7,11,21,110,24,1,864
1730,Memphis Grizzlies,36,84,42.9,7,15,46.7,24,28,85.7,13,26,39,25,8,4,21,24,103,-7,0,865
1731,Los Angeles Clippers,44,81,54.3,3,15,20.0,19,27,70.4,12,25,37,36,16,7,17,26,110,7,1,865
1732,San Antonio Spurs,35,82,42.7,5,21,23.8,28,37,75.7,12,39,51,19,2,4,8,25,103,-3,0,866
1733,Phoenix Suns,37,92,40.2,8,19,42.1,24,29,82.8,14,32,46,23,3,3,6,28,106,3,1,866
1734,Los Angeles Lakers,45,91,49.5,6,16,37.5,20,22,90.9,4,39,43,30,8,4,10,17,116,8,0,867
1735,Sacramento Kings,45,99,45.5,7,24,29.2,11,19,57.9,16,37,53,24,5,6,12,20,108,-8,1,867
