,TEAM,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,+/-,HOME,GAMEID,Date
798,New York Knicks,40,84,47.6,7,19,36.8,13,22,59.1,7,31,38,20,13,1,19,22,100,2,0,403,2012-02-11
799,Minnesota Timberwolves,37,84,44.0,6,19,31.6,18,19,94.7,10,36,46,18,9,4,22,21,98,-2,1,403,2012-02-11
800,Portland Trail Blazers,36,97,37.1,3,20,15.0,19,21,90.5,12,34,46,11,12,5,15,24,94,-3,0,404,2012-02-11
801,Dallas Mavericks,39,84,46.4,6,19,31.6,13,19,68.4,10,47,57,21,5,4,23,24,97,3,1,404,2012-02-11
802,Orlando Magic,35,81,43.2,15,37,40.5,14,21,66.7,9,34,43,22,4,5,10,13,99,5,0,405,2012-02-11
803,Milwaukee Bucks,39,93,41.9,9,22,40.9,7,7,100,17,32,49,26,3,5,11,16,94,-5,1,405,2012-02-11
804,Phoenix Suns,39,78,50.0,8,23,34.8,12,15,80.0,7,31,38,27,7,11,15,20,98,14,0,406,2012-02-11
805,Sacramento Kings,27,77,35.1,8,21,38.1,22,28,78.6,16,26,42,16,6,3,16,24,84,-14,1,406,2012-02-11
806,Los Angeles Lakers,35,81,43.2,10,23,43.5,14,20,70.0,12,29,41,19,6,3,15,14,94,2,0,407,2012-02-12
807,Toronto Raptors,37,78,47.4,6,11,54.5,12,17,70.6,7,32,39,20,11,3,13,19,92,-2,1,407,2012-02-12
808,Chicago Bulls,34,88,38.6,6,20,30.0,17,24,70.8,15,27,42,20,9,2,13,18,91,-4,0,408,2012-02-12
809,Boston Celtics,37,75,49.3,3,13,23.1,18,26,69.2,8,36,44,24,9,9,18,23,95,4,1,408,2012-02-12
810,Washington Wizards,37,79,46.8,6,15,40.0,18,21,85.7,8,39,47,23,8,9,21,18,98,21,0,409,2012-02-12
811,Detroit Pistons,29,89,32.6,1,11,9.1,18,19,94.7,15,27,42,17,10,2,17,18,77,-21,1,409,2012-02-12
812,Miami Heat,38,83,45.8,5,12,41.7,26,31,83.9,13,39,52,18,6,6,9,14,107,20,0,410,2012-02-12
813,Atlanta Hawks,35,90,38.9,11,27,40.7,6,7,85.7,12,26,38,26,4,4,13,19,87,-20,1,410,2012-02-12
