,PLAYER,TEAM,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,+/-,GAMEID
3057,Trevor Ariza,New Orleans Hornets,37:30,8,14,57.1,0,3,0.0,1,2,50.0,2,3,5,3,1,0,1,3,17,-18,1017
3058,LaMarcus Aldridge,Portland Trail Blazers,41:39,9,21,42.9,0,1,0.0,1,2,50.0,4,5,9,2,1,0,2,3,19,-2,1018
3059,Nicolas Batum,Portland Trail Blazers,26:26,6,10,60.0,2,3,66.7,1,2,50.0,2,6,8,2,1,0,3,2,15,8,1018
3060,Blake Griffin,Los Angeles Clippers,37:02,6,11,54.5,0,0,0.0,8,10,80.0,1,9,10,4,1,0,5,4,20,2,1018
3061,DeAndre Jordan,Los Angeles Clippers,38:39,4,6,66.7,0,0,0.0,1,4,25.0,4,7,11,1,3,1,2,2,9,8,1018
3062,Chris Paul,Los Angeles Clippers,36:56,8,15,53.3,1,5,20.0,0,0,0.0,0,1,1,7,2,0,3,3,17,6,1018
3063,Stephen Curry,Golden State Warriors,23:22,4,8,50.0,2,3,66.7,0,0,0.0,0,2,2,2,1,0,2,5,10,-3,1019
3064,Klay Thompson,Golden State Warriors,13:54,2,5,40.0,2,3,66.7,0,0,0.0,1,1,2,0,0,0,2,2,6,-7,1019
3065,Ish Smith,Golden State Warriors,0:32,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,2,1019
3066,Robin Lopez,Phoenix Suns,12:17,1,3,33.3,0,0,0.0,0,0,0.0,0,4,4,0,0,1,2,1,2,6,1019
3067,Markieff Morris,Phoenix Suns,32:02,7,13,53.8,1,3,33.3,1,2,50.0,3,6,9,2,0,0,0,3,16,20,1019
3068,JaVale McGee,Washington Wizards,31:28,8,9,88.9,0,0,0.0,1,2,50.0,3,11,14,0,1,3,0,4,17,-9,1020
3069,John Wall,Washington Wizards,40:11,4,13,30.8,0,0,0.0,3,4,75.0,0,3,3,8,2,2,7,2,11,-2,1020
3070,Rajon Rondo,Boston Celtics,38:11,3,8,37.5,0,0,0.0,0,0,0.0,3,4,7,13,1,0,7,3,6,6,1020
3071,Avery Bradley,Boston Celtics,9:45,0,3,0.0,0,1,0.0,0,0,0.0,1,1,2,0,0,0,0,1,0,2,1020
3072,Paul George,Indiana Pacers,37:06,8,10,80.0,5,5,100,0,0,0.0,1,2,3,2,1,1,2,2,21,2,1021
3073,George Hill,Indiana Pacers,19:49,3,5,60.0,2,2,100,0,0,0.0,0,1,1,2,0,0,1,4,8,13,1021
3074,DeMar DeRozan,Toronto Raptors,34:35,7,13,53.8,2,2,100,5,6,83.3,0,3,3,2,0,0,4,4,21,0,1022
