,PLAYER,TEAM,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,+/-,GAMEID
274,Jimmy Butler,Chicago Bulls,37:13,7,15,46.7,1,4,25.0,11,11,100,2,3,5,2,1,0,2,0,26,-8,27
275,Taj Gibson,Chicago Bulls,30:44,4,7,57.1,0,0,0.0,0,2,0.0,4,2,6,1,1,1,1,3,8,-11,27
276,Robin Lopez,Chicago Bulls,28:39,2,6,33.3,0,0,0.0,1,2,50.0,4,2,6,1,0,2,1,2,5,-7,27
277,Rajon Rondo,Chicago Bulls,29:35,2,10,20.0,0,2,0.0,0,0,0.0,1,4,5,5,1,0,2,2,4,-16,27
278,Doug McDermott,Chicago Bulls,26:27,3,5,60.0,0,1,0.0,0,0,0.0,1,1,2,1,1,0,1,0,6,-2,27
279,Bobby Portis,Chicago Bulls,3:19,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,2,0,-10,27
280,Denzel Valentine,Chicago Bulls,0:28,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,27
281,Blake Griffin,LA Clippers,35:31,5,13,38.5,0,0,0.0,4,6,66.7,2,8,10,2,1,0,2,3,14,8,28
282,DeAndre Jordan,LA Clippers,35:47,3,8,37.5,0,0,0.0,0,0,0.0,6,15,21,0,1,2,3,4,6,14,28
283,Chris Paul,LA Clippers,32:55,6,16,37.5,1,8,12.5,14,15,93.3,1,3,4,11,6,2,1,4,27,10,28
284,Austin Rivers,LA Clippers,23:15,2,9,22.2,1,4,25.0,3,5,60.0,0,3,3,0,2,0,0,2,8,15,28
285,JaMychal Green,Memphis Grizzlies,16:59,1,3,33.3,0,1,0.0,0,0,0.0,0,0,0,1,0,2,2,5,2,-10,28
286,Mike Conley,Memphis Grizzlies,37:13,9,20,45.0,7,11,63.6,5,7,71.4,0,2,2,10,1,2,0,2,30,4,28
287,T.J. Warren,Phoenix Suns,39:47,4,17,23.5,1,2,50.0,9,11,81.8,3,3,6,1,4,0,0,0,18,15,29
288,Devin Booker,Phoenix Suns,41:28,13,22,59.1,3,7,42.9,9,9,100,0,4,4,3,0,0,6,6,38,2,29
289,Eric Bledsoe,Phoenix Suns,35:34,7,13,53.8,2,6,33.3,1,3,33.3,2,5,7,4,0,0,3,5,17,16,29
290,P.J. Tucker,Phoenix Suns,32:56,2,6,33.3,0,3,0.0,0,0,0.0,1,7,8,2,1,2,1,3,4,-9,29
291,Alex Len,Phoenix Suns,14:47,1,4,25.0,0,0,0.0,2,2,100,3,7,10,1,0,0,1,3,4,-5,29
292,Solomon Hill,New Orleans Pelicans,29:42,2,5,40.0,1,2,50.0,2,4,50.0,1,4,5,3,1,2,0,4,7,-21,29
293,Anthony Davis,New Orleans Pelicans,42:33,7,11,63.6,0,1,0.0,8,12,66.7,1,9,10,2,1,4,1,1,22,-6,29
