,PLAYER,TEAM,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,+/-,GAMEID
7630,Bojan Bogdanovic,Brooklyn Nets,27:13:00,4,11,36.4,3,8,37.5,2,2,100,0,3,3,2,0,0,5,0,13,-6,754
7631,Brook Lopez,Brooklyn Nets,29:41:00,6,17,35.3,1,4,25,7,8,87.5,2,4,6,3,1,2,4,4,20,4,754
7632,Joe Harris,Brooklyn Nets,24:10:00,1,6,16.7,1,4,25,0,0,0,0,4,4,0,0,0,1,3,3,2,754
7633,Spencer Dinwiddie,Brooklyn Nets,21:24,1,2,50,1,1,100,4,4,100,0,0,0,3,1,1,2,1,7,-2,754
7634,Blake Griffin,LA Clippers,36:58:00,9,19,47.4,0,1,0,5,6,83.3,0,8,8,4,1,0,4,2,23,-8,755
7635,DeAndre Jordan,LA Clippers,30:54:00,2,6,33.3,0,0,0,2,4,50,4,12,16,3,0,0,1,1,6,-20,755
7636,Austin Rivers,LA Clippers,33:43:00,1,8,12.5,0,4,0,3,4,75,1,2,3,5,0,0,3,3,5,-3,755
7637,Jae Crowder,Boston Celtics,33:56:00,4,11,36.4,3,9,33.3,0,0,0,0,6,6,2,3,1,1,1,11,15,755
7638,Al Horford,Boston Celtics,34:37:00,4,13,30.8,3,9,33.3,2,2,100,2,13,15,6,1,2,2,5,13,15,755
7639,Jaylen Brown,Boston Celtics,24:50:00,4,10,40,1,5,20,2,4,50,0,3,3,1,1,0,1,2,11,0,755
7640,Marcus Smart,Boston Celtics,30:06:00,5,9,55.6,3,5,60,0,0,0,2,1,3,3,0,0,1,2,13,-1,755
7641,Kelly Olynyk,Boston Celtics,22:06,5,10,50,1,4,25,2,2,100,2,2,4,2,1,0,2,4,13,-9,755
7642,Terry Rozier,Boston Celtics,12:20,1,2,50,1,2,50,0,0,0,1,2,3,1,0,0,1,1,3,-4,755
7643,Mason Plumlee,Portland Trail Blazers,28:42:00,4,10,40,0,0,0,5,7,71.4,3,1,4,3,0,1,3,6,13,-14,756
7644,CJ McCollum,Portland Trail Blazers,31:21:00,7,15,46.7,2,6,33.3,3,3,100,0,8,8,1,0,0,3,2,19,-13,756
7645,Damian Lillard,Portland Trail Blazers,36:27:00,9,22,40.9,4,9,44.4,7,7,100,0,7,7,3,1,2,1,3,29,-5,756
7646,Maurice Harkless,Portland Trail Blazers,22:27,3,6,50,0,1,0,0,0,0,1,2,3,1,2,0,0,0,6,6,756
7647,Domantas Sabonis,Oklahoma City Thunder,34:08:00,0,6,0,0,1,0,2,2,100,1,6,7,0,0,2,0,1,2,14,756
7648,Steven Adams,Oklahoma City Thunder,37:51:00,3,11,27.3,0,0,0,1,4,25,9,4,13,1,2,0,2,2,7,3,756
7649,Victor Oladipo,Oklahoma City Thunder,38:33:00,8,18,44.4,1,4,25,7,9,77.8,0,12,12,3,2,2,4,2,24,8,756
7650,Russell Westbrook,Oklahoma City Thunder,35:10:00,16,34,47.1,1,6,16.7,9,11,81.8,1,3,4,8,0,0,4,3,42,7,756
7651,Cameron Payne,Oklahoma City Thunder,14:47,0,6,0,0,2,0,0,0,0,0,0,0,2,0,1,0,1,0,-4,756
7652,Jerami Grant,Oklahoma City Thunder,7:38,1,2,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,-12,756
7653,Brandon Ingram,Los Angeles Lakers,32:33:00,5,10,50,2,5,40,2,5,40,2,5,7,2,1,0,1,1,14,1,757
7654,Julius Randle,Los Angeles Lakers,17:04,7,14,50,0,0,0,0,0,0,2,0,2,2,0,1,0,6,14,6,757
7655,D'Angelo Russell,Los Angeles Lakers,19:31,1,4,25,0,1,0,2,2,100,1,1,2,6,0,0,0,1,4,6,757
7656,Ivica Zubac,Los Angeles Lakers,17:00,5,9,55.6,0,0,0,0,0,0,2,5,7,0,1,3,0,3,10,-8,757
7657,Jordan Clarkson,Los Angeles Lakers,29:24:00,5,13,38.5,0,2,0,2,2,100,1,6,7,2,0,0,1,4,12,6,757
7658,Lou Williams,Los Angeles Lakers,25:46:00,6,11,54.5,3,5,60,7,7,100,1,1,2,4,1,0,4,1,22,11,757
7659,Carmelo Anthony,New York Knicks,36:49:00,10,17,58.8,0,2,0,6,8,75,0,3,3,5,1,0,4,3,26,-9,757
7660,Kristaps Porzingis,New York Knicks,32:49:00,5,14,35.7,1,5,20,5,7,71.4,1,8,9,0,0,2,2,2,16,-17,757
7661,Derrick Rose,New York Knicks,31:34:00,2,8,25,0,1,0,1,1,100,0,4,4,3,0,0,3,2,5,-12,757
