,PLAYER,TEAM,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,+/-,GAMEID,Date
50,Thaddeus Young,Indiana Pacers,34:13,5,10,50.0,1,1,100,0,0,0.0,0,5,5,4,1,0,2,6,11,8,4,2016-10-26
51,Myles Turner,Indiana Pacers,37:29,13,19,68.4,1,2,50.0,3,5,60.0,6,10,16,1,2,4,2,4,30,25,4,2016-10-26
52,Brook Lopez,Brooklyn Nets,21:12,1,7,14.3,1,2,50.0,4,4,100,2,3,5,0,0,0,2,1,7,-10,5,2016-10-26
53,Bojan Bogdanovic,Brooklyn Nets,23:04,9,17,52.9,3,8,37.5,0,0,0.0,2,3,5,0,1,0,2,2,21,2,5,2016-10-26
54,Joe Harris,Brooklyn Nets,25:15,6,15,40.0,4,9,44.4,0,0,0.0,0,4,4,3,2,2,3,3,16,3,5,2016-10-26
55,Jae Crowder,Boston Celtics,29:11,9,15,60.0,3,8,37.5,0,0,0.0,0,5,5,2,2,1,2,2,21,3,5,2016-10-26
56,Al Horford,Boston Celtics,27:09,5,8,62.5,1,4,25.0,0,0,0.0,1,4,5,6,0,4,2,2,11,13,5,2016-10-26
57,Avery Bradley,Boston Celtics,34:03,7,15,46.7,3,4,75.0,0,0,0.0,4,5,9,6,1,0,3,4,17,3,5,2016-10-26
58,Jaylen Brown,Boston Celtics,19:27,3,4,75.0,0,0,0.0,3,4,75.0,0,2,2,1,1,2,1,1,9,0,5,2016-10-26
59,Terry Rozier,Boston Celtics,27:51,2,5,40.0,1,2,50.0,0,0,0.0,0,3,3,3,2,0,1,2,5,2,5,2016-10-26
60,Tobias Harris,Detroit Pistons,36:16,8,13,61.5,1,2,50.0,5,5,100,0,5,5,1,1,0,5,3,22,-21,6,2016-10-26
61,Andre Drummond,Detroit Pistons,24:09,7,11,63.6,0,0,0.0,2,6,33.3,1,5,6,0,1,0,4,5,16,-8,6,2016-10-26
